Category,Ranking,URL,Title
climate,1,https://www.mercadolibre.com.ar/tienda/masqueprecios,Masqueprecios
climate,2,https://www.mercadolibre.com.ar/tienda/soluciones-faciles,Soluciones faciles
climate,3,https://www.mercadolibre.com.ar/tienda/nexand,Nexand
laundry,1,https://www.mercadolibre.com.ar/tienda/electrotres,Electrotres
laundry,2,https://www.mercadolibre.com.ar/tienda/norfrig,Norfrig
laundry,3,https://www.mercadolibre.com.ar/tienda/repuestos-charpin,Repuestos charpin
refrigeration,1,https://www.mercadolibre.com.ar/tienda/segui-group,Segui group
refrigeration,2,https://www.mercadolibre.com.ar/pagina/simarepuestos,Sima repuestos
refrigeration,3,https://www.mercadolibre.com.ar/pagina/sjfrepuestos,Sjf repuestos
cooking,1,https://www.mercadolibre.com.ar/pagina/repuestosjancar8554,Repuestos jancar
cooking,2,https://listado.mercadolibre.com.ar/pagina/repuestosorbis,Repuestos jancar
cooking,3,https://www.mercadolibre.com.ar/pagina/-rtec-,Rtec
